[run_tier] 1 job(s) planned:
  [1] tier1/d3t                 CUDA_VISIBLE_DEVICES=0 python scripts/train.py --config-name=trial_toy_d3t

[run_tier] -> START  tier1/d3t: CUDA_VISIBLE_DEVICES=0 python scripts/train.py --config-name=trial_toy_d3t
[resume] starting fresh (no snapshot to resume from)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: jasonna24 (jasonna24-) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run kp4260wc
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/wandb/run-20260517_183220-kp4260wc
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trial_toy_d3t
wandb: ⭐️ View project at https://wandb.ai/jasonna24-/triplane-ae
wandb: 🚀 View run at https://wandb.ai/jasonna24-/triplane-ae/runs/kp4260wc
[train] latent data_range (p99-p1) = 4.6455
/opt/conda/lib/python3.11/site-packages/torch/nn/modules/transformer.py:382: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[train] exp=trial_toy_d3t  model=TriVAE_D3T  device=cuda
[train] batches=1250  batch_size=4  epochs=100
[train] AMP mode: bfloat16 autocast (no GradScaler needed)
[train] wall-clock cap: 60.0 min
[epoch 1 step 1075]  loss=6.26e-01  l1=6.26e-01  l2=0.00e+00  psnr=14.3  cos=0.5088
[epoch 1 step 1100]  loss=5.90e-01  l1=5.90e-01  l2=0.00e+00  psnr=14.8  cos=0.5104
[epoch 1 step 1125]  loss=6.31e-01  l1=6.31e-01  l2=0.00e+00  psnr=14.3  cos=0.5065
[epoch 1 step 1150]  loss=6.19e-01  l1=6.19e-01  l2=0.00e+00  psnr=14.6  cos=0.4897
[epoch 1 step 1175]  loss=6.08e-01  l1=6.08e-01  l2=0.00e+00  psnr=14.5  cos=0.5152
[epoch 1 step 1200]  loss=5.91e-01  l1=5.91e-01  l2=0.00e+00  psnr=14.5  cos=0.5259
[epoch 1 step 1225]  loss=5.83e-01  l1=5.83e-01  l2=0.00e+00  psnr=14.8  cos=0.5246
[epoch 1 DONE]  final_loss=6.21e-01  psnr=14.85  cos=0.5246
[checkpoint] /workspace/runs/trial_toy_d3t/checkpoints/epoch_0001.pt
[val epoch 1]  latent_l1=0.5958  latent_l2=0.8540  latent_psnr=24.8197
[best] new best latent_psnr=24.8197 (prev=n/a) -> /workspace/runs/trial_toy_d3t/checkpoints/best.pt
[epoch 2 step 000]  loss=5.96e-01  l1=5.96e-01  l2=0.00e+00  psnr=14.8  cos=0.5166
[epoch 2 step 025]  loss=5.88e-01  l1=5.88e-01  l2=0.00e+00  psnr=14.8  cos=0.5397
[epoch 2 step 050]  loss=5.76e-01  l1=5.76e-01  l2=0.00e+00  psnr=14.8  cos=0.5359
