epoch,FID_2p5D_Avg,FID_2p5D_XY,FID_2p5D_YZ,FID_2p5D_XZ,CLIPScore,CLIPScore_I2I,n_samples,fid_profile,fid_num_images
9,2.205405973613601,1.431064396343146,1.7605202822842045,3.424633242213453,17.417720452261467,15.705549319274724,,research,
19,1.8798716343135193,1.4052754877769829,1.5115713874186198,2.722768027744955,22.157765229853492,18.366339571463566,,research,
29,1.748429985703628,1.1850439602336849,1.4719042690639625,2.588341727813237,21.430805068152647,17.497134316712618,,research,
39,1.7805626324656174,0.9601727337235317,1.4195965653300462,2.9619185983432743,29.094798492578168,23.396569940571982,,research,
49,3.0426143430620463,1.8075859620891137,2.480782159649408,4.839474907447617,29.607343196248014,24.708492681384087,,research,
59,1.846389292583903,1.1115360583775384,1.5762926873693814,2.8513391320047887,28.983986240501206,25.061110571647685,,research,
69,1.6568571079517984,0.9570526942012378,1.3711166217938526,2.642402007860305,33.596460747066885,28.25380333714808,,research,
79,1.434612974448406,0.7502442064162409,1.2078740019842584,2.3457207149447186,37.11304274061695,30.65702029503882,,research,
89,1.5057100263910144,0.9305711194922139,1.24150747736752,2.345051482313309,29.99768863618374,22.731539118414123,,research,
99,2.3880610749204934,1.3185543574717826,2.1853510584586857,3.6602778088310117,33.037557776396476,26.35665891567866,,research,
109,1.5835636996866143,0.941036758343806,1.325592588764792,2.484061751951245,40.83307757476965,34.91901646880433,,research,
119,1.6127542658229548,0.974209542888957,1.328358126212244,2.5356951283676636,44.15908120727787,32.456445614496864,,research,
129,1.7662925262146345,0.9801089500626503,1.4082615187270093,2.910507109854244,38.160209362084665,28.73835930492108,,research,
139,1.7625571629358443,0.9840139406333464,1.4253478320294093,2.878309716144777,43.2403431131194,32.100564873001225,,research,
149,2.003481174454675,1.0224396003883314,1.601739282627598,3.386264640348095,42.93565778372189,33.746415183258556,,research,
159,2.738209555184717,1.4719520059109215,2.3253986087923266,4.4172780508509035,41.92254653200507,32.703323693325125,,research,
169,1.6377372804681845,0.8381383073066644,1.3358051957107264,2.7392683383871628,40.80814643048992,31.187678054595988,,research,
179,1.6727563027666932,0.9669020068323633,1.3685049079092195,2.6828619935584967,48.18671490624547,36.84311649824182,,research,
189,1.5134798406000058,0.8898789685537878,1.1944332914354092,2.4561272618108205,45.729027576744556,35.061104111373425,,research,
199,1.6172303818797076,0.7930905726309234,1.3675331619506608,2.6910674110575385,43.92640000085036,34.48871934848527,,research,
209,1.4979362442722841,0.7573046766353144,1.2335443809437692,2.5029596752377685,45.31820963540425,33.27990116799871,,research,
219,1.6491865139639497,0.8649300312960264,1.3347255355415726,2.7479039750542498,46.83683969390889,35.001087652519345,,research,
229,1.5409677791547811,0.8145285347482343,1.2369827920378142,2.571392010678295,43.77094344856838,34.71464709316691,,research,
239,1.4697279298999344,0.7871087205942331,1.1931526092916087,2.428922459813961,45.4416875904426,35.292731980482735,,research,
249,1.5338692294714917,0.7817397170397697,1.2764624170133274,2.543405554361378,46.999283806731306,35.85924569144845,,research,
259,1.5427124455347798,0.8538035936614605,1.2853944526298449,2.4889392903130343,43.46117668288449,34.13372639069954,,research,
269,1.651444027872427,0.8655549794816721,1.356236288516257,2.732540815619352,46.573037822420396,35.86712075645725,,research,
279,1.622463143495357,0.8515139803081198,1.3070611416831213,2.70881430849483,46.89361961558461,36.36930498108268,,research,
289,1.4824027952689416,0.7872376746791687,1.1932604122329735,2.4667102988946823,46.97579573343197,36.30009130714461,,research,
299,1.4614859525259642,0.7865587500506379,1.1928947349709773,2.4050043725562773,46.935422329852976,36.113447311644755,,research,
