[resume] starting fresh (no snapshot to resume from)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: jasonna24 (jasonna24-) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run yfj17wvz
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/wandb/run-20260514_022320-yfj17wvz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trial3
wandb: ⭐️ View project at https://wandb.ai/jasonna24-/triplane-ae
wandb: 🚀 View run at https://wandb.ai/jasonna24-/triplane-ae/runs/yfj17wvz
[train] latent data_range (p99-p1) = 5.0900
/opt/conda/lib/python3.11/site-packages/torch/nn/modules/transformer.py:382: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[train] exp=trial3  model=TriplaneAE  device=cuda
[train] batches=5000  batch_size=1  epochs=50
[eval] Loading MAISI decoder for image-domain validation...
[load_state] missing=0 unexpected=0
[eval] torch.compile disabled (eval.compile_maisi=false).
[eval] MAISI decoder ready.
[train] AMP mode: bfloat16 autocast (no GradScaler needed)
[epoch 1 step 2650]  loss=5.64e-01  l1=5.64e-01  psnr=15.9  cos=0.5079
[epoch 1 step 2700]  loss=6.25e-01  l1=6.25e-01  psnr=15.5  cos=0.4329
[epoch 1 step 2750]  loss=6.12e-01  l1=6.12e-01  psnr=15.7  cos=0.4358
[epoch 1 step 2800]  loss=5.17e-01  l1=5.17e-01  psnr=16.4  cos=0.6296
[epoch 1 step 2850]  loss=6.06e-01  l1=6.06e-01  psnr=15.7  cos=0.4570
[epoch 1 step 2900]  loss=6.19e-01  l1=6.19e-01  psnr=15.1  cos=0.5593
[epoch 1 step 2950]  loss=5.96e-01  l1=5.96e-01  psnr=15.6  cos=0.5084
[epoch 1 step 3000]  loss=7.53e-01  l1=7.53e-01  psnr=13.8  cos=0.4786
[epoch 1 step 3050]  loss=6.83e-01  l1=6.83e-01  psnr=14.5  cos=0.5216
[epoch 1 step 3100]  loss=5.84e-01  l1=5.84e-01  psnr=15.9  cos=0.4943
[epoch 1 step 3150]  loss=5.53e-01  l1=5.53e-01  psnr=16.2  cos=0.5751
[epoch 1 step 3200]  loss=5.71e-01  l1=5.71e-01  psnr=16.1  cos=0.4954
[epoch 1 step 3250]  loss=5.90e-01  l1=5.90e-01  psnr=15.8  cos=0.5027
[epoch 1 step 3300]  loss=5.82e-01  l1=5.82e-01  psnr=15.8  cos=0.4994
[epoch 1 step 3350]  loss=4.83e-01  l1=4.83e-01  psnr=16.8  cos=0.6308
[epoch 1 step 3400]  loss=6.10e-01  l1=6.10e-01  psnr=15.6  cos=0.5291
[epoch 1 step 3450]  loss=5.61e-01  l1=5.61e-01  psnr=16.2  cos=0.6016
[epoch 1 step 3500]  loss=7.52e-01  l1=7.52e-01  psnr=13.9  cos=0.4594
[epoch 1 step 3550]  loss=6.67e-01  l1=6.67e-01  psnr=14.7  cos=0.5136
[epoch 1 step 3600]  loss=7.02e-01  l1=7.02e-01  psnr=14.3  cos=0.4804
[epoch 1 step 3650]  loss=6.87e-01  l1=6.87e-01  psnr=14.8  cos=0.4840
[epoch 1 step 3700]  loss=5.46e-01  l1=5.46e-01  psnr=16.1  cos=0.6081
[epoch 1 step 3750]  loss=5.22e-01  l1=5.22e-01  psnr=16.4  cos=0.6325
[epoch 1 step 3800]  loss=6.12e-01  l1=6.12e-01  psnr=15.3  cos=0.5393
[epoch 1 step 3850]  loss=5.05e-01  l1=5.05e-01  psnr=16.6  cos=0.6174
[epoch 1 step 3900]  loss=5.74e-01  l1=5.74e-01  psnr=16.1  cos=0.4678
[epoch 1 step 3950]  loss=5.80e-01  l1=5.80e-01  psnr=16.0  cos=0.4970
[epoch 1 step 4000]  loss=6.96e-01  l1=6.96e-01  psnr=14.5  cos=0.4689
[epoch 1 step 4050]  loss=5.25e-01  l1=5.25e-01  psnr=16.6  cos=0.6149
[epoch 1 step 4100]  loss=5.59e-01  l1=5.59e-01  psnr=16.0  cos=0.5757
[epoch 1 step 4150]  loss=6.29e-01  l1=6.29e-01  psnr=15.3  cos=0.5416
[epoch 1 step 4200]  loss=5.42e-01  l1=5.42e-01  psnr=16.3  cos=0.5679
[epoch 1 step 4250]  loss=5.97e-01  l1=5.97e-01  psnr=15.6  cos=0.5028
[epoch 1 step 4300]  loss=5.64e-01  l1=5.64e-01  psnr=16.1  cos=0.5321
[epoch 1 step 4350]  loss=6.59e-01  l1=6.59e-01  psnr=14.9  cos=0.5155
[epoch 1 step 4400]  loss=6.15e-01  l1=6.15e-01  psnr=15.6  cos=0.4572
[epoch 1 step 4450]  loss=6.05e-01  l1=6.05e-01  psnr=15.6  cos=0.4933
[epoch 1 step 4500]  loss=5.80e-01  l1=5.80e-01  psnr=15.9  cos=0.5017
[epoch 1 step 4550]  loss=6.24e-01  l1=6.24e-01  psnr=15.1  cos=0.5746
[epoch 1 step 4600]  loss=6.00e-01  l1=6.00e-01  psnr=15.8  cos=0.4618
[epoch 1 step 4650]  loss=5.69e-01  l1=5.69e-01  psnr=16.1  cos=0.4922
[epoch 1 step 4700]  loss=5.95e-01  l1=5.95e-01  psnr=15.7  cos=0.5129
[epoch 1 step 4750]  loss=5.67e-01  l1=5.67e-01  psnr=16.0  cos=0.5082
[epoch 1 step 4800]  loss=6.54e-01  l1=6.54e-01  psnr=14.8  cos=0.5336
[epoch 1 step 4850]  loss=5.99e-01  l1=5.99e-01  psnr=15.7  cos=0.5185
[epoch 1 step 4900]  loss=5.60e-01  l1=5.60e-01  psnr=16.2  cos=0.5024
[epoch 1 step 4950]  loss=7.37e-01  l1=7.37e-01  psnr=14.2  cos=0.4783
[epoch 1 DONE]  final_loss=5.67e-01  psnr=14.18  cos=0.4783
[checkpoint] /workspace/runs/trial3/checkpoints/epoch_0001.pt
[val epoch 1]  latent_l1=0.5988  latent_l2=0.8431  latent_psnr=26.2060
[epoch 2 step 000]  loss=5.75e-01  l1=5.75e-01  psnr=16.0  cos=0.5082
[epoch 2 step 050]  loss=6.27e-01  l1=6.27e-01  psnr=15.1  cos=0.5592
[epoch 2 step 100]  loss=7.19e-01  l1=7.19e-01  psnr=14.2  cos=0.4841
[epoch 2 step 150]  loss=6.82e-01  l1=6.82e-01  psnr=14.7  cos=0.5234
[epoch 2 step 200]  loss=4.75e-01  l1=4.75e-01  psnr=16.9  cos=0.6642
[epoch 2 step 250]  loss=6.06e-01  l1=6.06e-01  psnr=15.6  cos=0.5121
[epoch 2 step 300]  loss=6.19e-01  l1=6.19e-01  psnr=15.1  cos=0.5737
[epoch 2 step 350]  loss=5.80e-01  l1=5.80e-01  psnr=15.9  cos=0.4981
[epoch 2 step 400]  loss=6.71e-01  l1=6.71e-01  psnr=14.7  cos=0.5172
[epoch 2 step 450]  loss=6.78e-01  l1=6.78e-01  psnr=14.6  cos=0.5122
[epoch 2 step 500]  loss=6.65e-01  l1=6.65e-01  psnr=14.9  cos=0.5218
[epoch 2 step 550]  loss=7.20e-01  l1=7.20e-01  psnr=14.1  cos=0.5161
[epoch 2 step 600]  loss=6.33e-01  l1=6.33e-01  psnr=15.5  cos=0.4466
[epoch 2 step 650]  loss=5.59e-01  l1=5.59e-01  psnr=16.2  cos=0.5150
[epoch 2 step 700]  loss=5.03e-01  l1=5.03e-01  psnr=16.6  cos=0.6363
[epoch 2 step 750]  loss=5.47e-01  l1=5.47e-01  psnr=16.2  cos=0.5392
[epoch 2 step 800]  loss=5.88e-01  l1=5.88e-01  psnr=15.8  cos=0.5646
[epoch 2 step 850]  loss=5.61e-01  l1=5.61e-01  psnr=16.1  cos=0.5241
[epoch 2 step 900]  loss=6.03e-01  l1=6.03e-01  psnr=15.7  cos=0.4951
[epoch 2 step 950]  loss=6.20e-01  l1=6.20e-01  psnr=15.3  cos=0.5592
[epoch 2 step 1000]  loss=7.08e-01  l1=7.08e-01  psnr=14.5  cos=0.4915
[epoch 2 step 1050]  loss=5.77e-01  l1=5.77e-01  psnr=16.0  cos=0.5086
[epoch 2 step 1100]  loss=6.70e-01  l1=6.70e-01  psnr=14.4  cos=0.5289
[epoch 2 step 1150]  loss=6.61e-01  l1=6.61e-01  psnr=14.9  cos=0.5132
[epoch 2 step 1200]  loss=6.14e-01  l1=6.14e-01  psnr=15.6  cos=0.4879
[epoch 2 step 1250]  loss=6.42e-01  l1=6.42e-01  psnr=15.4  cos=0.4299
[epoch 2 step 1300]  loss=7.24e-01  l1=7.24e-01  psnr=14.3  cos=0.4821
[epoch 2 step 1350]  loss=6.42e-01  l1=6.42e-01  psnr=14.9  cos=0.5467
[epoch 2 step 1400]  loss=6.12e-01  l1=6.12e-01  psnr=15.6  cos=0.5096
[epoch 2 step 1450]  loss=6.27e-01  l1=6.27e-01  psnr=15.4  cos=0.5321
[epoch 2 step 1500]  loss=5.53e-01  l1=5.53e-01  psnr=16.4  cos=0.5211
[epoch 2 step 1550]  loss=5.70e-01  l1=5.70e-01  psnr=16.1  cos=0.4906
[epoch 2 step 1600]  loss=6.30e-01  l1=6.30e-01  psnr=15.5  cos=0.4408
[epoch 2 step 1650]  loss=5.86e-01  l1=5.86e-01  psnr=15.7  cos=0.5039
[epoch 2 step 1700]  loss=5.72e-01  l1=5.72e-01  psnr=15.9  cos=0.5619
[epoch 2 step 1750]  loss=5.33e-01  l1=5.33e-01  psnr=16.4  cos=0.5357
[epoch 2 step 1800]  loss=6.34e-01  l1=6.34e-01  psnr=15.0  cos=0.5615
[epoch 2 step 1850]  loss=5.62e-01  l1=5.62e-01  psnr=16.2  cos=0.4976
[epoch 2 step 1900]  loss=5.46e-01  l1=5.46e-01  psnr=16.2  cos=0.5473
[epoch 2 step 1950]  loss=6.53e-01  l1=6.53e-01  psnr=14.8  cos=0.5505
[epoch 2 step 2000]  loss=6.08e-01  l1=6.08e-01  psnr=15.7  cos=0.5588
[epoch 2 step 2050]  loss=5.55e-01  l1=5.55e-01  psnr=16.2  cos=0.5519
[epoch 2 step 2100]  loss=5.14e-01  l1=5.14e-01  psnr=16.5  cos=0.6010
[epoch 2 step 2150]  loss=5.46e-01  l1=5.46e-01  psnr=16.3  cos=0.5768
[epoch 2 step 2200]  loss=5.82e-01  l1=5.82e-01  psnr=15.9  cos=0.5620
[epoch 2 step 2250]  loss=7.14e-01  l1=7.14e-01  psnr=14.3  cos=0.4659
[epoch 2 step 2300]  loss=6.12e-01  l1=6.12e-01  psnr=15.1  cos=0.5979
[epoch 2 step 2350]  loss=6.75e-01  l1=6.75e-01  psnr=14.7  cos=0.5232
[epoch 2 step 2400]  loss=6.92e-01  l1=6.92e-01  psnr=14.5  cos=0.5263
[epoch 2 step 2450]  loss=5.61e-01  l1=5.61e-01  psnr=16.1  cos=0.5290
[epoch 2 step 2500]  loss=5.41e-01  l1=5.41e-01  psnr=16.3  cos=0.6176
[epoch 2 step 2550]  loss=6.36e-01  l1=6.36e-01  psnr=15.0  cos=0.5528
[epoch 2 step 2600]  loss=5.52e-01  l1=5.52e-01  psnr=16.3  cos=0.5323
[epoch 2 step 2650]  loss=5.60e-01  l1=5.60e-01  psnr=16.2  cos=0.5131
[epoch 2 step 2700]  loss=6.89e-01  l1=6.89e-01  psnr=14.6  cos=0.5126
[epoch 2 step 2750]  loss=5.86e-01  l1=5.86e-01  psnr=15.8  cos=0.5393
[epoch 2 step 2800]  loss=5.93e-01  l1=5.93e-01  psnr=15.8  cos=0.4741
[epoch 2 step 2850]  loss=5.37e-01  l1=5.37e-01  psnr=16.2  cos=0.5802
[epoch 2 step 2900]  loss=5.84e-01  l1=5.84e-01  psnr=15.9  cos=0.5022
[epoch 2 step 2950]  loss=5.36e-01  l1=5.36e-01  psnr=16.4  cos=0.6174
[epoch 2 step 3000]  loss=5.42e-01  l1=5.42e-01  psnr=16.3  cos=0.5375
[epoch 2 step 3050]  loss=5.75e-01  l1=5.75e-01  psnr=16.1  cos=0.5008
